n_heads,drop_rate,train_acc,test_acc,train_loss,test_loss,best_model_test_acc,best_model_test_loss,time,no
50,0.2,0.9939,0.9185336048879837,0.0215,0.3826002903783394,0.9164969450101833,0.24137689710391758,03:36,47
50,0.4,0.9840,0.9226069246435845,0.0493,0.3047162393324244,0.9409368635437881,0.18991173831120042,03:36,48
50,0.6,0.9593,0.924643584521385,0.1160,0.2210879128904304,0.9470468431771895,0.16153052097182652,03:36,49
50,0.8,0.8755,0.9348268839103869,0.3358,0.177721124529353,0.9368635437881874,0.19745816703119493,03:36,50
75,0.0,1.0000,0.9103869653767821,0.0001,0.5154802785871471,0.9042769857433809,0.34113343767138943,03:35,51
75,0.2,0.9944,0.9389002036659878,0.0176,0.367427388725844,0.9042769857433809,0.28011274143537535,03:37,52
75,0.4,0.9845,0.924643584521385,0.0467,0.330649644500612,0.9164969450101833,0.2161593132494909,03:34,53
75,0.6,0.9678,0.945010183299389,0.1011,0.17537670474036648,0.9327902240325866,0.19690906807264338,03:33,54
75,0.8,0.8814,0.9164969450101833,0.3383,0.2094873724971915,0.9409368635437881,0.19195839201238635,03:34,55
150,0.0,0.9925,0.8981670061099797,0.0183,0.6867676354838486,0.8859470468431772,0.35983661005307604,03:34,56
150,0.2,0.9936,0.9022403258655805,0.0202,0.42944011407811383,0.9022403258655805,0.31265590292858736,03:34,57
150,0.4,0.9880,0.924643584521385,0.0386,0.38315545942050133,0.9348268839103869,0.20430334182475104,03:35,58
150,0.6,0.9626,0.9205702647657841,0.1127,0.23610358025173062,0.9266802443991853,0.21397042371590608,03:35,59
150,0.8,0.8755,0.945010183299389,0.3488,0.17362318241062086,0.9287169042769857,0.2078771255227553,03:40,60
