no,scenario_num,epoch,total_epoch,vocabulary,drop_rate,learning_rate,weight_decay,vocabulary_total,n_heads,train_acc,test_acc,train_loss,test_loss,time
68,68,100,15,use_stemming,0.3,0.001,0.001,7375,1,0.8892,0.8574338085539714,0.3026,0.3658083390194141,00:57
69,69,100,23,use_stemming,0.3,0.001,0.0001,7375,1,0.9346,0.890020366598778,0.1879,0.32056358262380613,01:24
70,70,100,60,use_stemming,0.3,0.0001,0.01,7375,1,0.8576,0.8716904276985743,0.3649,0.34713146782455523,03:32
71,71,100,47,use_stemming,0.3,0.0001,0.001,7375,1,0.8320,0.8574338085539714,0.4316,0.3843920755289237,02:48
72,72,100,57,use_stemming,0.3,0.0001,0.0001,7375,1,0.8539,0.8655804480651731,0.3812,0.3713601573907188,03:23
73,73,100,12,use_stemming,0.5,0.01,0.01,7375,1,0.2205,0.13034623217922606,1.5989,1.6170921121741022,00:46
74,74,100,7,use_stemming,0.5,0.01,0.001,7375,1,0.2287,0.13238289205702647,1.6034,1.6328355877559686,00:28
75,75,100,6,use_stemming,0.5,0.01,0.0001,7375,1,0.2400,0.19144602851323828,1.5984,1.621660071817775,00:24
76,76,100,19,use_stemming,0.5,0.001,0.01,7375,1,0.8334,0.869653767820774,0.4367,0.3439682075059584,01:10
77,77,100,30,use_stemming,0.5,0.001,0.001,7375,1,0.8967,0.8818737270875764,0.2904,0.3376371292378412,01:48
78,78,100,32,use_stemming,0.5,0.001,0.0001,7375,1,0.9078,0.8594704684317719,0.2470,0.365340878303085,01:56
79,79,100,33,use_stemming,0.5,0.0001,0.01,7375,1,0.7456,0.8411405295315683,0.6788,0.4826370940189012,01:59
80,80,100,79,use_stemming,0.5,0.0001,0.001,7375,1,0.8099,0.8533604887983707,0.4776,0.35311453957907296,04:40
81,81,100,59,use_stemming,0.5,0.0001,0.0001,7375,1,0.7882,0.8615071283095723,0.5636,0.3943374201867828,03:30
82,82,100,6,use_lemma,0.1,0.01,0.01,8175,1,0.2214,0.28105906313645623,1.6002,1.6150574038324919,00:24
83,83,100,7,use_lemma,0.1,0.01,0.001,8175,1,0.2226,0.15274949083503056,1.6004,1.622387712210599,00:28
84,84,100,13,use_lemma,0.1,0.01,0.0001,8175,1,0.2191,0.2790224032586558,1.6001,1.4667364795921776,00:49
85,85,100,14,use_lemma,0.1,0.001,0.01,8175,1,0.9581,0.9042769857433809,0.1212,0.30909500175483845,00:53
86,86,100,11,use_lemma,0.1,0.001,0.001,8175,1,0.9449,0.90020366598778,0.1623,0.24338989202578054,00:42
87,87,100,15,use_lemma,0.1,0.001,0.0001,8175,1,0.9685,0.9144602851323829,0.0928,0.2961612865784018,00:55
